证券代码,证券名称,数量,现金替代标志,申购现金替代溢价比例,赎回现金替代折价比例,替代金额,成份证券标识,收盘价,PE,PB,股息率(%),回购收益率(%),股东总回报率(%),市值,占比(%)
00700,腾讯控股,400,1,30%,0%,       151611.940,103,458.0,16.75,3.2,1.2095,1.5748,2.7843,183200.0,12.3857
000333,美的集团,1800,1,10%,10%,       156564.000,102,86.98,14.95,3.13,4.9437,,4.9437,156564.0,10.5849
00669,创科实业,1000,1,30%,0%,       113051.580,103,139.8,27.4,4.39,3.114,0.2418,3.3558,139800.0,9.4515
600519,贵州茅台,100,1,34%,0%,-,101,1299.6,19.95,6.47,4.0063,,4.0063,129959.99999999999,8.7863
01024,快手-W,3900,1,30%,0%,       113480.600,103,32.3,6.78,1.49,3.4185,2.5598,5.9783,125969.99999999999,8.5165
02020,安踏体育,1600,1,30%,0%,       105733.930,103,76.4,14.2,2.59,3.2068,0.4618,3.6686,122240.00000000001,8.2643
09633,农夫山泉,2000,1,30%,0%,        72311.490,103,41.8,26.76,10.99,2.7033,0.0,2.7033,83600.0,5.652
00322,康师傅控股,6000,1,30%,0%,        65080.340,103,12.54,14.19,4.76,7.3506,0.0,7.3506,75240.0,5.0868
600809,山西汾酒,500,1,34%,0%,-,101,118.3,14.18,3.79,5.5462,,5.5462,59150.0,3.999
03288,海天味业,1400,1,30%,0%,        33688.850,103,28.38,21.31,3.71,5.501,0.1581,5.6591,39732.0,2.6862
002602,世纪华通,2600,1,10%,10%,        36478.000,102,13.99,13.84,3.01,0.4277,,0.4277,36374.0,2.4592
06862,海底捞,3000,1,30%,0%,        29919.310,103,11.6,14.42,5.75,6.2619,0.0,6.2619,34800.0,2.3527
09992,泡泡玛特,200,1,30%,0%,        26675.670,103,151.0,14.22,7.57,1.7671,0.8495,2.6166,30200.0,2.0417
603129,春风动力,100,1,34%,0%,-,101,295.8,26.12,5.67,1.4199,,1.4199,29580.0,1.9998
00200,新濠国际发展,8000,1,30%,0%,        21382.060,103,3.09,6.64,3.57,,0.0,0.0,24720.0,1.6713
02282,美高梅中国,2400,1,30%,0%,        20676.240,103,9.96,7.46,9.9,9.1968,0.7379,9.9347,23904.000000000004,1.6161
002555,三七互娱,1300,1,10%,10%,        23569.000,102,18.2,12.33,2.9,6.1986,,6.1986,23660.0,1.5996
603195,公牛集团,600,1,34%,0%,-,101,38.61,16.73,4.59,4.921,,4.921,23166.0,1.5662
09980,东鹏饮料,200,1,30%,0%,        18371.960,103,106.2,15.95,3.48,,1.4654,1.4654,21240.0,1.436
600873,梅花生物,2400,1,34%,0%,-,101,7.7,9.93,1.38,5.6382,,5.6382,18480.0,1.2494
300972,万辰集团,100,1,20%,20%,        18325.000,102,183.24,17.36,13.41,0.5387,,0.5387,18324.0,1.2388
01585,雅迪控股,2000,1,30%,0%,        15716.500,103,9.085,8.77,2.38,5.8338,0.0,5.8338,18170.0,1.2284
689009,九号公司,400,1,73%,0%,-,101,40.0,19.3,4.54,4.1826,,4.1826,16000.0,1.0817
603486,科沃斯,300,1,34%,0%,-,101,50.93,14.56,3.1,1.8064,,1.8064,15279.0,1.033
603605,珀莱雅,200,1,34%,0%,-,101,62.12,13.17,3.69,3.1847,,3.1847,12424.0,0.84
002668,TCL智家,1300,1,10%,10%,        12415.000,102,9.35,10.17,2.65,2.1339,,2.1339,12155.0,0.8218
600132,重庆啤酒,300,1,34%,0%,-,101,39.0,16.25,11.92,6.4004,,6.4004,11700.0,0.791
002517,恺英网络,700,1,10%,10%,        11725.000,102,16.66,14.94,3.39,0.597,,0.597,11662.0,0.7884
605599,菜百股份,700,1,34%,0%,-,101,14.4,10.08,2.53,5.3206,,5.3206,10080.0,0.6815
02367,巨子生物,400,1,30%,0%,         8974.930,103,24.5,12.27,2.41,5.3562,1.1705,6.5267,9800.0,0.6626
09985,卫龙美味,1200,1,30%,0%,         7738.020,103,7.455,11.48,2.1,5.2783,0.0317,5.31,8946.0,0.6048
002612,朗姿股份,500,1,10%,10%,         8230.000,102,16.46,8.75,2.59,7.2904,,7.2904,8230.0,0.5564
02400,心动公司,200,1,30%,0%,         6854.020,103,39.62,11.28,4.43,,4.163,4.163,7923.999999999999,0.5357
002946,新乳业,500,1,10%,10%,         7535.000,102,15.05,16.2,3.66,2.9861,,2.9861,7525.0,0.5087
02145,上美股份,300,1,30%,0%,         5693.230,103,22.48,7.31,3.06,6.399,0.3092,6.7082,6744.0,0.4559
300251,光线传媒,600,1,20%,20%,         6738.000,102,11.1,-62.12,3.42,1.3357,,1.3357,6660.0,0.4503
02555,茶百道,1200,1,30%,0%,         4380.210,103,4.22,7.0,1.39,13.6586,0.0,13.6586,5064.0,0.3424
01318,毛戈平,100,1,30%,0%,         4350.800,103,50.3,18.5,4.32,3.6933,0.0,3.6933,5030.0,0.3401
002847,盐津铺子,100,1,10%,10%,         4470.000,102,44.3,14.94,5.7,3.132,,3.132,4430.0,0.2995
001221,悍高集团,100,1,10%,10%,         3998.000,102,40.12,21.97,5.44,1.8759,,1.8759,4011.9999999999995,0.2712
301498,乖宝宠物,100,1,20%,20%,         3940.000,102,39.4,32.48,3.37,1.269,,1.269,3940.0,0.2664
301061,匠心家居,100,1,20%,20%,         3593.000,102,35.57,13.8,2.32,2.7832,,2.7832,3557.0,0.2405
003010,若羽臣,100,1,10%,10%,         3221.000,102,31.52,33.86,12.33,1.8628,,1.8628,3152.0,0.2131
300533,冰川网络,200,1,20%,20%,         2976.000,102,14.5,38.07,3.73,13.4409,,13.4409,2900.0,0.1961
300492,华图山鼎,100,1,20%,20%,         2379.000,102,23.51,107.41,31.6,2.5221,,2.5221,2351.0,0.1589
00325,布鲁可,0,2,-,-,            0.000,103,73.25,25.83,5.04,,0.8016,0.8016,0.0,0.0
09911,赤子城科技,0,2,-,-,            0.000,103,8.89,12.03,3.49,,0.9223,0.9223,0.0,0.0
02589,沪上阿姨,0,2,-,-,            0.000,103,79.5,15.07,3.37,,0.0,0.0,0.0,0.0
300857,协创数据,0,2,-,-,            0.000,102,260.56,49.6,21.04,0.1297,,0.1297,0.0,0.0
603444,吉比特,0,2,-,-,            0.000,101,378.5,12.17,4.5,5.1774,,5.1774,0.0,0.0
